address,area,bath,bed,city,description,garage_space,price,property_type,sqft,state,taxes_2015,taxes_2016,taxes_2017,taxes_2018,taxes_2019,year_built,zip
8581 Cole Crest Dr,Los Angeles,5,5,Los Angeles,"Beautifully done , 5 bedroom + 5 baths, hip contemporary w/spectacular canyon/city views on a quiet St. Newer sunny designer kitchen w/stainless steel Boshe appliances limestone floors, large pantry. Huge great room w/fireplace, vaulted ceilings, and picture windows leads to a spacious deck. Soaring ceilings, architectural lighting, hardwoods, custom European cabinetry, imported glass tile/stone baths complement the bright spacious interior. The master has a frplc, huge walk-in closet & spa like bath. One bedroom could also serve as a separate media rm while another has its own entry. The home has four large decks. New wide plank hardwood floors recently installed and freshly painted. Buyer to verify ALL MLS info, including but not limited to, permits and uses, bed/bath count, all square footage & school availability !",2,1999900,Single Family Home,4300,CA,422,427,436,6169,6231,1989,90046
11117 Ophir Dr,Los Angeles,4.5,5,Los Angeles,"Located in picturesque Westwood Hills, this remodeled home has a warm, voluminous, contemporary feel and among the very best backyards in town. W/ its expansive, open great rm as its centerpiece, this sun-splashed, airy home was built for entertaining, flowing from space to space and to the outdoors w/ seamless ease. Vaulted beamed ceilings/skylights/wood flrs create an uplifting interior. Living, media, dining areas open to the gourmet kitchen. En suite BR, a private anything room and powder BA complete this wing. In the main BR wing, 3 BDs together, 2 amply-sized BDs, each w/ walk-in closets, sharing a large BA. Adjacent is the primary suite w/ high-pitched ceiling/sitting deck overlooking the backyd w/ sumptuous bath. Laundry rm. On the lower level, 5th ensuite BR + a plethora of fab flexible space. Direct access to 2-car garage. Unusually large, private, verdant backyard designed for gracious al fresco entertaining. Swimmers pool/spa. Solar energy system. Warner Ave Elementary.",2,4200000,Single Family Home,4482,CA,35242,35769,36564,38499,38651,1941,90024
4503 Roma Ct,Los Angeles,3.5,4,Marina del Rey,"This is an amazing opportunity to acquire a prime Canal Front Corner Lot Estate in one of the most exclusive Silicon Beach neighborhoods. Elegantly distinguished by its Country French Beauty! Towering decorated ceilings, French pane bay windows for an array of sunlight, and awe-inspiring outdoor balconies and rooftop areas that showcase enjoyable views of the canal and ocean. The grand layout offers multiple fireplaces, and astonishing living and dining areas to suit every need. Impressive kitchen and family rooms for entertaining. Three spacious bedrooms on third level, and fourth bedroom on ground level. Striking canal and some ocean views from the expansive master suite. Dual bathroom sinks, soaking tub and relaxing shower area. Nestled on the ground level is the charming backyard covered with a breathtaking garden coupled with a long stream bed of roses along the canal pathway. 3 car garage. Just minutes from the beach, shops and restaurants. This unique home will not last!",3,3249000,Single Family Home,3890,CA,21078,21393,21896,22383,22466,1985,90292
725 N Spaulding Ave,Los Angeles,2,3,Los Angeles,"Welcome to 725 N Spaulding Avenue, where this classic West Hollywood Spanish gem sits in the heart of it all. With an unrivaled floor plan, this home spaciously offers a large, sun-filled living room with beautiful skylight windows and fireplace that seamlessly ties into the family room with hardwood floors. Enjoy hosting in the dining room appointed with new light fixtures a natural light. The kitchen offers ample countertop space, storage and stainless steel appliances including a wine refrigerator. Fantastic outdoor living space is accessible from almost everywhere in the house, including a charming front yard deck off of the guest bedroom, sitting area off of the kitchen and a massive deck in the backyard that ties the outdoor space to the Master Bedroom. The oversized Master Bedroom gives the sense of calm seclusion from the home. Separated by a formal entry hallway and skylights, the Master is an utter retreat. What's more, this home offers a usable detached garage for parking.",2,1799000,Single Family Home,1732,CA,15947,16185,16547,16915,17041,1923,90046
7556 Coastal View Dr,Los Angeles,4,5,Los Angeles,"Located on a cul-de-sac, in Silicon Beach's picturesque One Westbluff community, this elegant Mediterranean-style home is sure to impress. Enter the grand foyer with soaring ceilings & arches and a bright open floor plan with 4, 737 SF of living space, 5 beds, 4 baths, stunning hardwood floors & upscale finishes. The large kitchen, with an oversized island, granite counters & SS appliances, opens to the breakfast area & family/media room for that theater experience! This home also boasts its own personal home gym that could be transitioned into a wine cellar or home theater. Well-appointed master bedroom with spa-like master bath & large walk-in closet. 4 add'l bedrooms for traditional use, home office, playroom, or guest bedrooms. Impressive landscaped backyard with eating area & outdoor kitchen. The community provides security patrol, has many parks & trails, & is zoned for Playa Vista Elementary. Close proximity to exquisite shopping & dining, the Marina, Playa Vista's Runway & LAX.",,3195000,Single Family Home,4458,CA,21056,21371,21883,22370,7308,2007,90045
1725 Glendon Ave Apt 3,Los Angeles,3.5,3,Los Angeles,"An exquisite find in one of the most desirable locations in Westwood. This spacious three bedroom, three and a half bathroom home spans the full length of the building. With beautiful marble and hardwood floors, this home is pleasing to the eyes with plenty of living space. Each room has its own bright views to enjoy as well. Privacy is guaranteed by having your own elevator that opens up to the unit. The family room showcases gorgeous French doors to the outdoor patio for relaxation. Three parking spots are included.",,1650000,Condo/Townhome/Row Home/Co-Op,2726,CA,13974,14870,15221,15561,15608,1991,90024
134 S Windsor Blvd,Los Angeles,3,5,Los Angeles,"Ideally located between 1st and 2nd streets this elegant Country English offers generously scaled rooms. Gracious entry with beautiful staircase leads to formal living and dining rooms as well as the light filled breakfast room. Inviting den with access to charming backyard. Large kitchen, maids & bath + powder room complete the first floor. 4 large scale bedrooms, 2 baths and a sitting room are found upstairs. Ample size yard with mature trees, wonderful privacy, and great space for pool. 3rd Street Elementary. Windsor Square HPOZ near Larchmont Village without crossing a busy street.",,3799000,Single Family Home,4507,CA,2493,2535,2650,2702,2814,1923,90004
1430 Miller Dr,Los Angeles,3,3,Los Angeles,"Find yourself looking over the city in the heart of West Hollywood. 3 minutes away from new restaurants, hotels, and other exciting venues, feeling the pulse of the energetic community, connected. Recently renovated, 3 bedrooms and 3 bathrooms, designed by local architects, giving you the confidence to entertain and host. A view from every room, multiple patios off each of the two floors, a layout encouraging social interaction makes your world a better place. An open floor plan accentuates the views as you walk into the top floor living area. Then head down stairs to your primary suite, with fireplace and luxuriate in front of the flames. Or if you feel like a soak/shower, step into your spa like bath and spend some time. Either/or its a win/win. Whether you come to see what life is like with a view from the top, or needing to keep your finger on the pulse, come see what this home could be.",2,2999999,Single Family Home,2100,CA,22539,20413,20902,21364,21430,1937,90069
2753 Waverly Dr Apt 1002,Los Angeles,2.5,3,Silver Lake,"Set within a modern gated complex in trendy Silver Lake, a 3-bedroom, 2.5-bathroom, 1, 661-sqft townhome welcomes you home! A spacious first floor entry offers built-in closet storage, recessed lights, hardwood floors and access to the attached 2 car garage. Upstairs, is the spacious living room that provides sliding door access to the private balcony, a crisp kitchen, and a sunlit dining space. The modern kitchen is fully equipped with a huge kitchen island, stainless-steel appliances, modern frameless laminate textured cabinets with wood grain pattern and Quartz counters tops. Guest bathroom and a convenient laundry room off the dining room. Carpeted floors lead you upstairs to each spacious bedroom illuminate by natural sunlight while the master bedroom provides recessed lights, a large floor to ceiling dual pane window, an en-suite bathroom offering dual vanities, and a walk-in shower. When it's time to unwind and enjoy that SoCal sun, the rooftop patio provides a wonderfully serene space with views of the bustling city in the distance. Enjoy a community lounge/patio spot, glittering pool, and warming spa. Minutes from Trader Joe's, Whole Foods, Restaurants, Cafes and ideally located in the highly coveted Ivanhoe school district. Built in 2016, this luxury townhome is one not to miss.",2,1049000,Condo/Townhome/Row Home/Co-Op,1661,CA,,3111,10522,10762,10801,2016,90039
6140 Monterey Rd Apt 212,Los Angeles,2,2,Los Angeles,"Nestled in the Hermon neighborhood, a hidden gem in Monterey Hills! Adjacent to South Pasadena and trendy Highland Park, this lovely 2BED/2BATH condo unit is perfect to enjoy a California lifestyle. This is an ideal location for hiking or dog walking in the nearby Arroyo Seco Park. The complex offers amenities such as a pool/spa/gym. This corner unit is bright and open with one common wall and close access to the elevator and parking. Upon entering, the living room features a gas fireplace and light wood laminate floors. Your dining area off the kitchen is spacious enough to accommodate a dinner party. The kitchen was updated with newer countertops and stainless steel appliances. The two bedrooms with carpets have walk-in closets and en suite updated bathrooms including a barn door. New Milgard sliding doors in your living room and bedroom give you direct access to your oversized patio surrounded by beautiful plants. So come see this move-in ready unit and create your own oasis!",,497000,Condo/Townhome/Row Home/Co-Op,1064,CA,1882,1909,1963,2009,5674,1989,90042
13700 Marina Pointe Dr Unit 715,Los Angeles,1,1,Marina del Rey,"Enjoy direct Marina views from this beautiful unit located in the highly prestigious, Azzurra! This property offers hardwood floors throughout, spacious living/dining area, large bedroom with two large closets, 9 foot floor to ceiling windows, great natural light & large luxurious bathroom. Open kitchen features granite counter tops with breakfast bar, stainless appliances and maple cabinetry. Also features in-unit washer/dryer, central ac/heat, gorgeous balcony overlooking the Marina, 2 car parking & more. HOA fees include cable/internet/water/trash/earthquake insurance & an abundance of amenities-24 hr valet for guests, 24 hr front desk & security, rooftop spa & lounge, heated pool & spa w/cabanas, media lounge, art collection, indoor & outdoor gyms w/yoga/pilates studio, & more! Minutes to world famous beaches, trendy shops/restaurants, LAX, bike path, dog walks, theaters & more!",,729000,Condo/Townhome/Row Home/Co-Op,835,CA,4907,4981,5097,5209,5218,2003,90292
11500 San Vicente Blvd Apt 312,Los Angeles,2.5,2,Los Angeles,"Ideally sited in the neighborhood's premier luxury full-service building, The Brentwood, this sprawling 2, 255 sq.ft. residence boasts 2 bedrooms and 3 bathrooms. Through a formal entry hallway is a dedicated dining area with a chandelier that flows seamlessly into the living room with an oversized fireplace, built-in shelving and wet bar, all spilling out onto the private patio through floor-to-ceiling French doors. The gourmet kitchen is complete with SubZero and Thermador appliances, a breakfast nook, and a built-in desk. In addition to one en-suite bedroom, is the hotel-like master suite adorned with a regal double door entry, boutique-style walk-in closet, and bathroom with double vanity, jetted soaking tub, and water closet. The residence also offers an in-unit laundry room with a Maytag washer and dryer, powder room, and multiple storage closets. Amenities include a rooftop pool and spa, fitness center, valet, 24-hour concierge and doorman, package delivery, and conference room.",,1398000,Condo/Townhome/Row Home/Co-Op,2254,CA,9863,10010,10251,10478,10511,1994,90049
2637 Angelo Dr,Los Angeles,3,3,Los Angeles,"One-of-a-kind Bel Air Ridge end unit home offering expansive mountain views! Inviting entry welcomes you to an impressive atrium enveloped with light that travels throughout this spectacular home. The cheerful kitchen has granite countertops with a tile backsplash, custom cabinetry, stainless steel appliances, and flows gracefully into the family room. The elegant living room features a relaxing fireplace that creates an inviting atmosphere! What better way to end a long day than to take a break in the striking wood paneled library with plenty of room for your book collection, or convert this area to a 3rd bedroom that boasts a charming fireplace, closet, with a window view to the manicured grounds. Upstairs welcomes you to the 2nd bedroom/bathroom and a master suite with endless views, vaulting ceilings, a walk-in closet with built-ins, and a pristine dual sink bathroom with separate shower and soaking tub. Private back patio is just perfect for entertaining with family and friends!",2,1495000,Condo/Townhome/Row Home/Co-Op,2711,CA,10922,11083,11385,11633,11711,1978,90077
500 Molino St Unit 113,Los Angeles,1,2,Los Angeles,"Huge, chic 1, 800 sqft Live/Work unit in The Molino Street Lofts building in Downtown LA's Arts District. True raw loft feel with huge floor to ceiling windows, exposed brick, polished concrete floors, exposed piping and high ceilings. Big private patio for morning coffees and evening al fresco dinners. The building has a rooftop pool and lounge, sun terrace, fitness room, secured entrance and gated on-site parking. Walk to the many restaurants/bars of Little Tokyo and the Arts district, including Bavel, Bestia, Verve Coffee, Zinc Cafe, Officine Brera, Factory Kitchen, Bread Lounge, ERBar, Urth Caffe.",,1125000,Condo/Townhome/Row Home/Co-Op,1780,CA,8172,8290,8484,8653,8685,1923,90013
6516 W 87th Pl,Los Angeles,2,4,Los Angeles,"Located a few blocks from the Westchester Golf Course, this lovingly cared for home w/verdant landscaping, crisp curb appeal, and remodeled detached guest house awaits you. Past the covered porch step into a welcoming living space highlighted by rich hardwood floors, elegant raised paneled walls, contemporary moldings and wall sconces, and decorous fireplace w/custom tile accents. Continuing on the main level are 3 comfortable bedrooms, modern bathroom w/skylight, and well-equipped kitchen designed for the home chef and entertaining w/maple cabinets, granite countertops, stainless steel appliances, instant hot/cold at the sink, pot filler, eat at bar, serving counter, and travertine floors. Beyond the kitchen is an airy step-down family room and upstairs a spacious and private master suite. The backyard oasis was created for year-'round enjoyment w/pergola and gazebo, koi pond, grassy lawn area flanked by soaring palms, converted 'man cave' garage, and incredible built-in BBQ island.",,1325000,Single Family Home,2654,CA,10200,10199,11725,11983,12070,1944,90045
11438 Thurston Cir,Los Angeles,3,3,Los Angeles,"First time on the market in over 50 years! This classic lower Bel Air Traditional home was designed by famed Architect Leo F. Bachman. Great single-story home with lovely curb appeal & ideal floorplan. Enter the home through the inviting formal entry that opens to a spacious formal living room w/ wood-burning fireplace & marble hearth. The spacious formal dining room is conveniently located adjacent to the kitchen & breakfast room, which has been tastefully updated over the years. The den/family room with a second wood burning fireplace opens to a large backyard w/ ample room for entertaining. There are 3 sizable bedrooms including the spacious master suite, each with en-suite bathrooms. A separate laundry room, and a bonus room tucked under the house that is great as a workshop or artist retreat. 2 car garage & plenty of off-street parking, and conveniently located close to Brentwood, Westwood, UCLA & easy access to the 405 fwy. This is a rare offering and priced to sell fast!!",2,1895000,Single Family Home,2352,CA,1833,1856,1959,1995,2060,1947,90049
8115 Mulholland Ter,Los Angeles,7.5,6,Los Angeles,"Stunning private, gated estate set on over half an acre of land with expansive city & mountain views. Near the coveted Fryman Estates hiking trails, and just 2 miles from world famous Sunset Strip shopping & dining. This luxurious resort like estate was once home to Hollywood icon Mickey Rooney. The traditional 6 bed/8bath main house is complimented by a two-story English brick guesthouse and two-story gym & spa. A dramatic open floor plan ties together the main living spaces including a living room w/home theater, formal living area, dining room and kitchen that all open to the outdoors, bringing the inside out. A gourmet chef's kitchen includes Carrera marble counters & top of the line appliances. Luxurious master retreat includes large private terrace w/stunning city views, fireplace, walk-in steam shower & spa tub. Grounds feature a pool, spa, massage area, steam room & sauna, full gym, Koi pond, outdoor fire pits, waterfall, outdoor kitchen w/full bar & wood-fire pizza oven.",,8000000,Single Family Home,7555,CA,20904,67050,68573,71622,71976,1950,90046
10550 Wilshire Blvd Apt 801,Los Angeles,3,2,Los Angeles,"Welcome to the Wilshire Thayer Residences! Immediately upon walking into the foyer, you're exposed to the explosive views. This large two-bedroom South West facing unit has incredible natural light exposure with each room taking advantage of the City Views and large balcony. The Master-Suite is completely private to the rest of the home with a split bathroom and deep walk-in closet. The kitchen has been meticulously remodeled and well positioned as you can cook and entertain while enjoying the twilight City views. Premium location in the building on the quiet Thayer side with no building next door giving airy and open city views. With a 24/7 door man and concierge, your safety and every day needs as a resident are always met.",,1100000,Condo/Townhome/Row Home/Co-Op,1759,CA,8545,8674,8882,9080,9098,1981,90024
907 Malcolm Ave,Los Angeles,3.5,4,Los Angeles,"This lovingly restored and emotional Spanish home features classic details including open beam ceilings, stenciled woodwork, arched doorways, vintage tiles and original fixtures. Entering via a traditional courtyard with loggia, the main level features: open formal entry: spacious living room with stately fireplace; warm den with coffered wood ceiling; sunny dining room with stained glass windows; cozy breakfast room; updated gourmet center island kitchen with granite counters and stainless Wolf and Subzero appliances; and ensuite maids off laundry room. Upstairs are three bedrooms including expansive master suite with embossed wall and ceiling stenciling, balcony, large closets and original full bath and two additional family bedrooms sharing large vintage bath. The rear of the house opens to a lovely yard with grassy play area, detached garage and covered gravel patio. Centrally located only minutes from Westwood Village, UCLA, Century City and is in the Warner Ave school district",2,3295000,Single Family Home,3680,CA,354,354,409,354,346,1930,90024
18701 Cohasset St,Los Angeles,1,3,Reseda,"First time on the Market in 28 years. Lots of great upgrades and features of the property. Original hardwood floors, nice floor plan, double pane windows, fireplace, Central AC and Heat and great back yard with pool. You will be pleasantly surprised with this very nice and charming Home.",1,597000,Single Family Home,1101,CA,2306,2340,2404,2461,2553,1951,91335
2664 Zorada Dr,Los Angeles,2.5,2,Los Angeles,"This exquisite, Zen like retreat is the perfect designer decorated home nestled in lower Nichols Canyon in the Hollywood Hills. Hedged and gated for privacy, this modern home is serene from the moment you step through the gate to the lily pond courtyard and enter the home with a flowing open floor plan with high vaulted ceilings, hard wood floors, gourmet kitchen, family room w/fireplace. French doors open to tranquil Zen-inspired patios/decks with fountain, spa and waterfall, sauna, outdoor shower, as well as multiple, seating, sunning and dining areas all surrounded by lush landscaping. Spacious Master Suite has vaulted ceilings and spa tub. Easy access to Hollywood, Beverly Hills as well as Studio City and Burbank.",2,1629000,Single Family Home,2239,CA,17015,19121,19582,20016,20098,1971,90046
6828 Laurel Canyon Blvd Unit 106,Los Angeles,2,2,North Hollywood,"Impeccably maintained single level condo located in North Hollywoods most desirable communities of Laurel Luxury Condominiums. The open floorplan is perfect for entertaining, with laminate flooring, fireplace, recessed lightning, crown moldings, spacious dining area, & gourmet kitchen. An inviting balcony allows for year-round outdoor entertaining. The master bedroom includes an ensuite bath and generous closet space. Secure well maintained community with 2 gated underground parking spaces. A must see!",2,439999,Condo/Townhome/Row Home/Co-Op,1171,CA,2079,4298,4412,4513,4534,1991,91605
7515 Winnetka Ave Apt 114,Los Angeles,3,2,Winnetka,"Spacious move-in ready and beautifully fully updated 2 bedrooms and 2.5-bathroom, 2 stories townhouse style condo with a bright open floor plan, in a small complex with only 24 units. Two master bedrooms upstairs with separate bathrooms, washer & dryer. Living room with fireplace, dining room, kitchen, and guest bathroom downstairs. Two assigned spots in gated subterranean parking. LOW HOA fee. Great location, convenient to schools, to malls, restaurants, markets, movie theater, and more, easy access to both 101 & 118 freeways.",2,385000,Condo/Townhome/Row Home/Co-Op,1234,CA,2034,2715,2789,3245,3264,1982,91306
2901 W 14th St,Los Angeles,3,5,Los Angeles,Great Investment to buy a DUPLEX home on LAR2 lot in the Harvard Heights area of Los Angeles. This investors gem has two units with tons of potential - recently remodeled clean 4 beds and 2 baths which is currently vacant and one bed and one bath. Building an ADU (Additional Dwelling Unit) in the backyard will enhance the value of the property.Quiet building with great neighbors. Property is being sold as-is. Hurry! This rare opportunity won't last long.,,859000,Multi-Family Home,1830,CA,7166,7271,7453,7643,1162,1904,90006
5403 Beckford Ave,Los Angeles,2.5,4,Tarzana,"Welcome to this updated two story pool home in the heart of Tarzana! Corner lot home with a lot size of over 7, 000 square feet with a detached garage and large driveway, this is the perfect family home for entertaining family and friends! Enter through the double doors to a beautiful foyer and a staircase that leads you upstairs to the bedrooms. This home boasts almost 3, 000 square feet of living space with a large living room, separate formal dining room, powder room downstairs, large black and white customized kitchen with granite countertops and granite backsplash, separate laundry room, four bedrooms and two full bathrooms upstairs. Master bedroom has an on suite bathroom with a jacuzzi tub, fireplace, walk in closet and a balcony overlooking the beautiful yard. Some of the many upgrades include dual pane windows, copper plumbing and updated bathrooms. The yard is the perfect place for entertaining, BBQ's with friends and family and throwing parties. Enjoy summer gatherings in the large pool and enjoy the many fruit trees! Don't miss out on this wonderful opportunity!",2,1375000,Single Family Home,2924,CA,6287,6380,6570,6717,6796,1939,91356
14835 Jadestone Dr,Los Angeles,3,4,Sherman Oaks,"Set high in the hills on a quiet cul-de-sac in the Stone Canyon neighborhood of Sherman Oaks, this spacious 4 bedroom, 3 bath with over 3100 sq. ft. offers a peaceful setting and large back yard with city and canyon views. Living room includes a fireplace and marble flooring. Huge family room with a wet bar, second fireplace and adjacent library/ home office that could also be a 5th bedroom if needed. True formal dining room and a great center island kitchen that includes a large breakfast room with skylights. French doors from the kitchen open to lounging and entertaining decks, an expansive lawn area and a gazebo with beautiful views. Additional gardens and hillside with sitting area and mature trees. Main bedroom suite offers a large walk-in closet and dressing/ vanity area. Indoor laundry room and attached 2 car garage. Prime south of Ventura Blvd. location.",2,1599000,Single Family Home,3108,CA,11727,11898,12220,12488,12599,1963,91403
15050 Sherman Way Unit 124,Los Angeles,2,3,Van Nuys,"Centrally located, end unit condo in the heart of Van Nuys. Spacious with plenty of light! Have coffee or tea on the cozy patio. Enter into the living room and enjoy relaxing by the fireplace. Dining area and kitchen are downstairs along with one bedroom, full bath, and laundry. Two sizable bedrooms and a full bath upstairs. Central heating and air conditioning. Great complex with fitness center, pool, and two hot tubs. Close to shopping, the train station, and the 405 freeway.",2,499950,Condo/Townhome/Row Home/Co-Op,1489,CA,3962,3962,4298,4599,5299,1981,91405
1745 S Bentley Ave Apt 1,Los Angeles,2,2,Los Angeles,"STUNNING 2BED/2BA CONDO IN GORGEOUS BUILDING WITH PRIVATE PATIO! THIS SPECTACULAR CONDO WITH OPEN FLOOR PLAN FEATURES A SPACIOUS LIVING ROOM WITH RECESSED LIGHTING, GRANITE FIREPLACE, BAR AREA, WOOD FLOORS, AND A PRIVATE BALCONY; PERFECT FOR ENTERTAINING FRIENDS & FAMILY. THE KITCHEN HAS BEEN UPDATED WITH NEW GRANITE COUNTER TOPS, CABINETS, ISLAND AND STAINLESS STEEL APPLIANCES. THERE IS A LAUNDRY ROOM NEXT TO THE KITCHEN W/SPACE FOR STORAGE. LAMINATE FLOORING THROUGHOUT THE LIVING SPACE AND BEDROOMS. SPACIOUS MASTER BEDROOM WITH WALKING CLOSET, BATHTUB AND SHOWER. BOTH BATHROOMS HAVE BEEN UPGRADED WITH NEW FAUCETS, GRANITE COUNTER TOPS AND FLOORING. A RARE UNIT OF EXCEPTIONAL CHARACTER AND QUALITY IN THE VERY HEART OF WESTWOOD, THIS COMPLEX IS LOCATED IN CLOSE PROXIMITY TO ALL MAJOR STORES & SHOPS: WESTFIELD CENTURY CITY MALL, WESTWOOD VILLAGE. A STREET AWAY FROM THE 405 FWY AND MINUTES FROM UCLA.",,975000,Condo/Townhome/Row Home/Co-Op,1508,CA,7596,7709,7891,9352,9384,1982,90025
12361 Jolette Ave,Los Angeles,2,3,Granada Hills,"Welcome to the stunning Knollwood Country Club adjacent neighborhood just above Rinaldi St! This single level home needs lots of love and has a sought-after floor plan offering a living room with a fireplace and high ceilings, a step-up formal dining room, kitchen adjacent to the second living room which creates a perfect space for any gathering and even leads out to an enclosed patio. The large pool-sized backyard includes mature trees. At the end of the main hallway, the private primary bedroom includes an attached bathroom and two spacious closets. Two more bedrooms share a bathroom. A large attached garage may be suitable for a potential ADU (profitable second dwelling). Plus, the driveway has possible RV access. Due to water damage, CASH ONLY offers. Call today for an easy showing!",,650000,Single Family Home,1815,CA,1429,1447,1500,1533,1627,1964,91344
4843 Elmwood Ave,Los Angeles,2,2,Los Angeles,Newly refurbished house off Western Ave. Ready to move in and equipped with new appliances. Minutes away from the Holleywood strip and Larchmont Village.,,3200,Single Family Home,,CA,,,,,,,90004
2812 Wellington Rd,Los Angeles,2,3,Los Angeles,"Moon Castle circa 1927. This French Gothic Revival in the heart of West Adams has been meticulously reimagined by the artist owners and will transport you to another era. 16-foot soaring ceilings greet you as you enter into a stunning light-filled living room with Batchelder fireplace. Historic and original details have been preserved along with tasteful modern updates including custom fixtures crafted by localartisans. Off the living room is a large dining area which connects to the gourmet kitchen with high-end appliances. Three bedrooms, two baths and office space complete the spacious layout. Giant backyard with multiple seating areas, outdoor dining & a large detachedgarage (plans available for ADU conversion) currently being used as a studio. Lush landscaping includesanorganic garden withBari date palm, lemon and fig trees. Located in the heart of West Adams just 15 minutes from the beach and close to Highly Likely, Johnny Pastrami, Party Beer and much more.",,1199000,Single Family Home,1650,CA,713,3106,7054,10242,10332,1927,90016
1129 W 67th St,Los Angeles,2,5,Los Angeles,"Investment Opportunity! Highly desirable 2 separate houses on one lot, Generating excellent income. Front house has 2 Bedrooms & 1 Bath $1710, back house has 3 Bedrooms & 1 Bath $1830. Washer & dryer hookups in both units. Long term desirable tenants. Both units in clean condition. Low maintenance, good condition building with a newer roof. High demand location, minutes away from USC campus, close vicinity to shopping, transport & the 110 freeway.",,499999,Multi-Family Home,1187,CA,1730,4379,4486,4583,4639,1926,90044
416 S Spring St Apt 505,Los Angeles,2,1,Los Angeles,"Urban living at it's finest! Historic charm with modern upgrades at this spacious 1 bedroom (possible 2 bed)/2 bath home in DTLA's Historic Core. A bright and inviting living room, dining room with built-in bookshelves, comfortable office which could be a 2nd bedroom, master suite, modern kitchen & baths and balcony with city lights views. Exposed concrete beams, windows on the west wall for a light & airy feel. Laundry located inside the unit. Plans for enclosing 2nd bedroom are ready to go. Architecturally significant Beaux Arts building designed by Frederick Noonan with onsite security and Mills Act status for huge tax savings. Surrounded by some of downtown's best restaurants, shops, parks, and entertainment, including the Historic Downtown Farmers Market, Spring Street Dog Park Grand Central Market, Art Walk DTLA, Perch, The Los Angeles Athletic Club, Botegga Louie, and more! This is a must see!",,759000,Condo/Townhome/Row Home/Co-Op,1080,CA,2770,2783,3496,3084,2866,1914,90013
1526 N Leavitt St Unit 1,Chicago,2.5,3,Chicago,"New construction DUPLEX CONDO built by a longstanding, local developer in historic Wicker Park. This unit lives like a single family home and offers open concept chef's kitchen with custom cabinetry boasting quartz counter tops, high-end appliances, space for entertaining and a unique outdoor covered TERRACE off the family room not seen anywhere else! The master suite is enormous with walk in closet and a spa-inspired bathroom. The entire lower level has radiant heated floors. You are just steps from the L and the popular 6 corners at North/Damen/Milwaukee. Garage parking included!",1,799000,Condo/Townhome/Row Home/Co-Op,,IL,,,,,,2020,60622
1500 N Lake Shore Dr Unit 6C,Chicago,3.5,3,Chicago,"Completely renovated & highly desirable C tier in Gold Coast's premier co-op! Designed by Tom Stringer Design Partners & featured in Luxe Interior Design, this stunning home offers exposures in every direction, giving breath-taking lake, park & city views from every room. Custom finishes throughout blend preserved vintage details w/ modern finishes. Wonderful floor plan w/ elegant foyer leads to a spacious living & dining room w/ a classic restored fireplace, which has been converted to gas. Gorgeous office/den w/ built-ins, bar & powder room. Large eat-in kitchen w/ custom cabinetry, afyon suger marble counters, terrazzo tile flooring & comm grade appl. Stunning primary suite w/ dual closets & bathrooms. Fabulous bathroom boasts custom Waterworks designs w/ honey onyx marble w/ a mosiac mix of calcutta gold, Dessin Fournir light fixtures, antiqued mirror doors & massive walk-in closet. All new windows. Generous guest suite. Historic building w/first class, full-service oriented staff. Up to 50% financing has been approved by the Board.",1,2195000,Condo/Townhome/Row Home/Co-Op,3600,IL,,,,,,1928,60610
1635 W Belmont Ave Apt 205,Chicago,1,2,Chicago,"Gorgeous Updated 2 Br Quiet Concrete ""Cinema"" Loft With Huge 300 Sq. Ft Outdoor Terrace! New Hardwood Floors Thoughout, Custom Lighting, Gas Fireplace With Tile Surround and Bordered With Reclaimed Barnwood! Cedar, Custom Closet, New Hvac, Freshly Painted and Updated Sleek Kitchen With Granite & Stainless Including New Appliances in 2019. Open Floor Plan - Yet Bedrooms Are Nicely Distanced. Dual Vanity in Mbr Suite. Walk To Whole Foods, Southport Corridor. Bldg Features Doorman, Common Roof Deck, Workout Facility and Extra Storage!",1,389900,Condo/Townhome/Row Home/Co-Op,,IL,5182,5136,5317,5598,,U,60657
55 W Delaware Pl Apt 1006,Chicago,2.5,3,Chicago,"The Park Newberry is an address known for spacious apartments located in the Gold Coast across from the Newberry Library and the greenery of Washington Square Park, yet just blocks away from the chic hustle and bustle of Oak St. and Michigan Ave. This well maintained condo, which is a generous 2300 sq. ft., holds 3 bedrooms and 2.1 baths and features a generous 30 ft. x 16 ft. living room and adjacent dining room facing a wall of sliding glass doors which open out to a large balcony with stunning views of the city's downtown skyline. A large eat-in kitchen (with new countertops and backsplash), has great counter space for the chefs in the family as well as a breakfast bar and eating area with room for table and chairs. All hardwood floors throughout the public rooms, with ceramic tile in the kitchen, and carpeting in the bedrooms. The 3rd bedroom/den, has French doors opening to the living room with its gas fireplace, stone surround and custom wood shelving. The powder room is new and the primary and 2nd baths beautifully upgraded. Building amenities: 24 hour door staff, on-site management, fitness center, two outdoor roof terraces, library, bike room and party room. The premiere parking space (available separately for $60, 000) is conveniently located just steps from one of the building's elevators and has an adjacent storage locker (10 ft. x 7 ft. x 3 ft.). Two dogs up to 25 lbs. each are welcome.",1,975000,Condo/Townhome/Row Home/Co-Op,2297,IL,12514,13721,14361,15931,,1998,60610
